PD;qn01;Unit_qn01;qn02;Unit_qn02;qn03;Unit_qn03;qn04;Unit_qn04;qn05;Unit_qn05;qn06;Unit_qn06;qn07;qn08;qn09;qn10
0.000250;2193.43872;MLN;6913.26592;MLN;16542.94136;MLN;66144.56376;MLN;168631.7512;MLN;0;MLN;N/A;15.972;14.0096;0.67056
0.004850;81.928;MLN;22;MLN;1031.096;MLN;417.472;MLN;1370.6;MLN;1432.2;MLN;109.34;15.1272;15.1272;0.4576
0.085450;615.436052;MLN;144.3998072;MLN;3132.243664;MLN;652.2918864;MLN;2448.10515;MLN;N/A;MLN;14.432;15.312;15.224;0.20856
0.004850;149.451236;MLN;99.5578672;MLN;3580.421346;MLN;49.435628;MLN;3664.64501;MLN;4264.509779;MLN;778.89328;12.5664;N/A;1.34376
0.023850;52.3424;MLN;21.9648;MLN;262.9176;MLN;105.7936;MLN;502.4888;MLN;575.5288;MLN;105.424;12.1352;8.2984;2.3496
0.000550;266.992;MLN;527.736;MLN;N/A;MLN;14011.448;MLN;13988.832;MLN;16084.024;MLN;175.4192;11.44;9.152;0.616
0.020083;590.5628872;THD;201.6766488;THD;5441.341409;THD;1418.826376;THD;5237.844401;THD;6674.682749;THD;84.54776;15.4616;10.2344;0.48312
0.001050;1052.480053;MLN;526.404296;MLN;27668.72677;MLN;3011.360158;MLN;31841.10032;MLN;36720.66538;MLN;86.48112;13.6048;12.0032;1.5532
0.000250;44856.24;MLN;51932.32;MLN;736823.12;MLN;515321.84;MLN;1126149.2;MLN;1289430.56;MLN;318.50016;14.08;12.056;0.87384
0.001850;193.6;MLN;659.12;MLN;10470.24;MLN;1728.32;MLN;17869.28;MLN;N/A;MLN;426.8;15.0304;14.3352;0.0088
0.007717;277.1063856;MLN;116.5531928;MLN;4361.617084;MLN;1752.744708;MLN;6185.510734;MLN;6055.61711;MLN;80.83856;13.0856;12.0912;1.31472
0.012550;318.032;MLN;90.728;MLN;2035.44;MLN;346.984;MLN;1846.68;MLN;2459.16;MLN;109.3312;22;15.752;2.772
0.032750;234.5045384;MLN;115.4283504;MLN;3013.470205;MLN;478.3458416;MLN;3513.355718;MLN;N/A;MLN;136.42816;N/A;N/A;1.43528
0.000850;3135.968;MLN;2429.24;MLN;49414.728;MLN;38539.512;MLN;26610.936;MLN;N/A;MLN;102.3264;N/A;8.712;0.6336
0.009983;1277.144;MLN;646.8;MLN;28508.832;MLN;9828.104;MLN;23104.048;MLN;17202.592;MLN;15.2504;13.464;13.464;0.3784
0.017517;209.104544;MLN;64.3095816;MLN;1235.448632;MLN;0.0362208;MLN;221.0845648;MLN;1475.016382;MLN;N/A;13.816;N/A;0.66792
0.002050;528.6406664;MLN;459.0500376;MLN;15707.7223;MLN;1257.09782;MLN;19711.78907;MLN;N/A;MLN;109.4852;13.288;N/A;0.98912
0.002317;1042.171478;MLN;408.7648576;MLN;19096.55698;MLN;3870.404578;MLN;16871.75247;MLN;25560.01224;MLN;111.8436;11.8888;10.4104;1.05512
0.000250;118.008;MLN;77.616;MLN;2817.232;MLN;1292.72;MLN;3318.48;MLN;N/A;MLN;60.3064;15.84;12.672;0.088
0.085450;287.3110328;MLN;101.8649544;MLN;1494.835135;MLN;476.9024568;MLN;1341.933956;MLN;1789.960533;MLN;0.9284;12.848;9.856;0.38544
0.002550;1567.921291;MLN;185.6714464;MLN;10862.28567;MLN;1773.234382;MLN;11229.95193;MLN;16526.58779;MLN;204.34744;11.352;N/A;0.98648
0.001850;212.256;MLN;110.792;MLN;4112.592;MLN;656.304;MLN;9017.096;MLN;4516.512;MLN;738.232;14.784;11.264;0.792
0.032750;141.2113472;MLN;47.579576;MLN;543.3846968;MLN;867.7036456;MLN;936.0447976;MLN;N/A;MLN;34.98704;14.5992;9.7504;-0.64592
0.538250;1009.168596;MLN;267.5193258;MLN;6772.258529;MLN;3007.407857;MLN;5628.521174;MLN;0;MLN;0;1.848;1.848;-49.06
0.023850;70.928;MLN;29.04;MLN;532.4;MLN;49.984;MLN;29.304;MLN;856.592;MLN;465.388;15.9544;15.4;-1.2056
0.002083;1232.02985;MLN;743.912136;MLN;16386.57162;MLN;5298.993322;MLN;23470.58465;MLN;20681.51117;MLN;101.64176;15.62;12.54;1.07976
0.003583;15317.84265;MLN;21049.31875;MLN;408567.5248;MLN;439351.8764;MLN;452469.719;MLN;2645998.87;MLN;74.45504;22.264;15.048;-0.15048
0.000250;4892.187511;MLN;2238.681632;MLN;129066.0428;MLN;23277.397;MLN;149700.5146;MLN;124885.436;MLN;210.3112;13.728;11.44;0.90992
0.003317;5449.939713;MLN;1994.426342;MLN;37068.73133;MLN;3977.210785;MLN;42676.03762;MLN;34260.66702;MLN;231.93808;18.1192;14.7488;2.66112
0.077650;247.456;MLN;111.76;MLN;1597.288;MLN;336.864;MLN;1690.304;MLN;N/A;MLN;N/A;14.872;8.008;-8.008
0.062050;124.08;MLN;66.264;MLN;2249.632;MLN;5.896;MLN;795.52;MLN;N/A;MLN;197.736;N/A;N/A;0.4136
0.000250;18831.32173;MLN;5743.90476;MLN;348889.6238;MLN;109987.3555;MLN;273295.9878;MLN;247952.7276;MLN;40.71584;11.704;9.944;0.79464
0.052283;3648.905885;MLN;1194.91995;MLN;53171.26808;MLN;20876.91846;MLN;43555.45792;MLN;33707.1175;MLN;47.278;19.536;15.224;0.095232231
0.009150;322.1274056;MLN;92.9343096;MLN;2537.562597;MLN;576.0963912;MLN;2420.595954;MLN;3319.946142;MLN;45.05072;12.54;12.056;0.968
0.002550;161.3524088;MLN;46.4603392;MLN;3526.179474;MLN;367.7919432;MLN;2977.123556;MLN;3960.114453;MLN;24.4156;12.7424;10.472;1.37632
0.032750;1045.264;MLN;606.848;MLN;4698.144;MLN;1276;MLN;9205.504;MLN;N/A;MLN;21.0408;17.6;N/A;1.9008
0.002550;4201.12;MLN;1411.52;MLN;89287.44;MLN;51712.32;MLN;45726.56;MLN;52598.48;MLN;41.932;17.424;13.112;0.2112
0.009150;3077.514458;MLN;685.2410048;MLN;27333.98566;MLN;0;MLN;30394.78974;MLN;22960.27052;MLN;42.83752;9.8208;6.82;-0.43472
0.000383;1295.030792;MLN;1312.770932;MLN;72253.8479;MLN;11835.33959;MLN;71687.93718;MLN;55830.01908;MLN;15.19848;15.752;14.784;0.42328
0.000850;7687.566348;MLN;3207.941326;MLN;214895.7348;MLN;99353.80034;MLN;105715.5688;MLN;107403.0299;MLN;55.12408;18.48;16.28;0.34232
0.001417;2964.51056;MLN;2818.24576;MLN;70661.71464;MLN;46372.93144;MLN;119150.504;MLN;126317.7256;MLN;584.84624;16.3504;13.552;0.19976
0.001850;465.0538992;MLN;252.934132;MLN;9106.778604;MLN;1928.047942;MLN;8194.203732;MLN;7310.275579;MLN;20.30688;14.344;14.1944;1.18624
0.002550;518.2573264;MLN;585.4638944;MLN;16699.70345;MLN;3868.887924;MLN;23288.20195;MLN;16892.30213;MLN;N/A;11.6688;8.6328;0.34584
0.003317;792.5630944;MLN;354.3003376;MLN;6839.367102;MLN;34.3613336;MLN;6550.243075;MLN;6428.804281;MLN;108.94576;21.4456;21.4456;3.28064
0.002050;644.4072008;MLN;740.3113872;MLN;22386.10818;MLN;11607.85649;MLN;16707.92843;MLN;12695.85651;MLN;9.93784;12.98;11.8976;0.4048
